ISIN,AR_4,Coef_4,AR_6,Coef_6,AR_8,Coef_8,AR_10,Coef_10,AR_12,Coef_12,AR_14,Coef_14,AR_16,Coef_16,AR_18,Coef_18,AR_20,Coef_20
GB00BMJ6DW54,-1.52057971530287,0.598649005850485,-2.1883446810574623,0.23045926177240583,-2.7511086668540954,0.0008522122749540229,-3.022875232921613,0.04624453265715367,-2.778416709641387,0.001011899959078133,-2.5529285401059,0.054560797725803356,-2.0584990882931704,0.013704610982073762,-2.3332818986168338,0.04315646330804479,-2.7347745464590374,0.12292109222728431
GB00BHJYC057,-5.560207982983342,0.7751829001346514,-5.250995630369977,0.7999746755987193,-5.462723502560072,0.5563315655218775,-5.4111708895473125,0.6576263370707878,-5.492788580893486,0.5666811251373783,-6.2814942098845545,0.23864980730186935,-7.008797295939284,0.28387446412859685,-7.747246497663129,0.24552219576650558,-8.386674510480102,0.2730909205058586
GB0004564430,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB0033986497,0.517604721708837,0.021961746154576245,0.5673709727349371,0.008684450310328828,2.947950901561559,0.4481395207351194,2.9201499591561935,0.48236995769835855,3.2283120156573566,0.7033227881815343,3.313442074966369,0.7722905058404503,3.618915523702757,0.7463925354467045,3.891837256270235,0.7288582994438804,4.287601104982027,0.6755939104458479
GB00B019KW72,0.03900936390260103,0.7117309209959678,1.1885850679788497,0.27951510135454805,1.4860267038568549,0.1510799408271848,1.7738713140903348,0.03573564620086167,1.9761782865203879,0.012283232828076862,2.2305981671387856,0.03937234748539031,2.4155079881950794,0.16074984730838837,2.549987884171385,0.21351626632434728,2.87429469012175,0.19983433254279337
GB00BYX91H57,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB00BZ4BQC70,0.9077197045788514,0.27383225837499636,0.6005649559485957,0.7199665674163886,0.6429403463774993,0.7161538587228221,0.8475766524122335,0.6993820927071408,0.9445929584300369,0.5735476029021163,0.912930280077888,0.41534786621409003,0.875148999019378,0.24590342347604055,0.8173112999851965,0.06604674672589861,0.7150777563042079,0.042958398368878936
GB00BZ0D6727,5.820800075711376,0.05469052740353075,1.455605201264207,0.25157378382861506,-2.02605728390815,0.5714543554336016,-1.7180755032951218,0.8072218763163324,-1.4512659522184306,0.8427625916533321,-1.5197535918581542,0.8669762765151231,-1.5312736316051512,0.8772302920855448,-1.4959289767907946,0.8803240656892206,-1.2188344146631656,0.8076405285019619
GB0033195214,1.8712682047303433,0.305850343289063,2.7345166740079443,0.016516451131759258,3.132987616523397,0.0017132089098919057,3.1037266238441696,0.0010917670030409221,2.6415600355569313,0.00019688917928162297,2.1526348269624753,0.04286780171362392,1.6073454368996665,0.2050953573280171,1.3972005242584196,0.2664403774963593,0.895616279645338,0.34824498689908245
GB00BYW0PQ60,2.0612685384139513,0.19159221653459169,-0.24358325322145724,0.5571730818922861,-0.42424070595139746,0.7918553357845575,-0.26579635030605164,0.7575280813043557,-0.21486675663450827,0.752037422799525,-0.16653104630334595,0.7480406875364256,-0.2367558893011692,0.6988285842412443,0.05397832134416986,0.49468310466554577,0.33637131694798134,0.3810143850492158
